대피소명,주소,위도,경도,유형,대피소명_정규
5호선 신정(은행정)역,,37.525,126.85619,비상대피시설(지하철역),5호선신정(은행정)역
5호선 아차산(어린이대공원후문)역,,37.55169,127.08976,비상대피시설(지하철역),5호선아차산(어린이대공원후문)역
5호선 애오개역,,37.55374,126.95682,비상대피시설(지하철역),5호선애오개역
5호선 양평역,,37.52557,126.88613,비상대피시설(지하철역),5호선양평역
5호선 여의나루역,,37.5271,126.9329,비상대피시설(지하철역),5호선여의나루역
5호선 여의도역,,37.52175,126.92436,비상대피시설(지하철역),5호선여의도역
5호선 영등포구청역,,37.5242,126.89503,비상대피시설(지하철역),5호선영등포구청역
5호선 영등포시장역,,37.52267,126.90514,비상대피시설(지하철역),5호선영등포시장역
5호선 오금역,,37.50206,127.12794,비상대피시설(지하철역),5호선오금역
5호선 오목교(목동운동장앞)역,,37.5245,126.87518,비상대피시설(지하철역),5호선오목교(목동운동장앞)역
5호선 올림픽공원(한국체대)역,,37.5162,127.13092,비상대피시설(지하철역),5호선올림픽공원(한국체대)역
5호선 올림픽공원역 승강장 지하1~2층,"서울특별시 송파구 양재대로 지하 1233 (방이동, 올림픽공원역)",37.51655,127.13113,민방위대피시설,5호선올림픽공원역승강장지하1~2층
5호선 왕십리(성동구청)역,,37.56184,127.03706,비상대피시설(지하철역),5호선왕십리(성동구청)역
5호선 우장산역,,37.54877,126.83632,비상대피시설(지하철역),5호선우장산역
5호선 을지로4가역,,37.56735,126.99803,비상대피시설(지하철역),5호선을지로4가역
5호선 장한평역,,37.56144,127.06462,비상대피시설(지하철역),5호선장한평역
5호선 종로3가역,,37.57254,126.9903,비상대피시설(지하철역),5호선종로3가역
5호선 천호(풍납토성)역,,37.53864,127.12331,비상대피시설(지하철역),5호선천호(풍납토성)역
5호선 청구역,,37.56028,127.01364,비상대피시설(지하철역),5호선청구역
5호선 충정로(경기대입구)역,,37.56024,126.9629,비상대피시설(지하철역),5호선충정로(경기대입구)역
5호선 하남검단산역,,37.53972,127.22345,비상대피시설(지하철역),5호선하남검단산역
5호선 하남시청(덕풍-신장)역,,37.54205,127.20612,비상대피시설(지하철역),5호선하남시청(덕풍-신장)역
5호선 하남풍산역,,37.55203,127.20386,비상대피시설(지하철역),5호선하남풍산역
5호선 행당역,,37.55732,127.02948,비상대피시설(지하철역),5호선행당역
5호선 화곡역,,37.54151,126.84046,비상대피시설(지하철역),5호선화곡역
6.25참전자경로당,서울특별시 영등포구 도림로80길 4,37.50179,126.90528,무더위쉼터,6.25참전자경로당
63한화생명빌딩 지하3층,"서울특별시 영등포구 63로 50, 63한화생명빌딩 지하1층 (여의도동)",37.51983,126.94007,민방위대피시설,63한화생명빌딩지하3층
6차현대아파트경로당,서울특별시 영등포구 선유로 207,37.53182,126.89379,무더위쉼터,6차현대아파트경로당
6호선 고려대(종암)역,,37.59051,127.0363,비상대피시설(지하철역),6호선고려대(종암)역
6호선 공덕역,,37.54356,126.95168,비상대피시설(지하철역),6호선공덕역
6호선 광흥창(서강)역,,37.54746,126.93199,비상대피시설(지하철역),6호선광흥창(서강)역
6호선 광흥창역 지하 1~3층,서울특별시 마포구 독막로 지하165 (창전동),37.54747,126.93246,민방위대피시설,6호선광흥창역지하1~3층
6호선 구산역,,37.61138,126.91727,비상대피시설(지하철역),6호선구산역
6호선 녹사평(용산구청)역,,37.53468,126.9867,비상대피시설(지하철역),6호선녹사평(용산구청)역
6호선 대흥(서강대앞)역,,37.54777,126.94207,비상대피시설(지하철역),6호선대흥(서강대앞)역
6호선 대흥전철역 지하1~3층,서울특별시 마포구 대흥로 지하 85 (대흥동),37.54773,126.94238,민방위대피시설,6호선대흥전철역지하1~3층
6호선 독바위역,,37.61846,126.93303,비상대피시설(지하철역),6호선독바위역
6호선 돌곶이역,,37.61054,127.05643,비상대피시설(지하철역),6호선돌곶이역
6호선 동묘앞역,,37.57228,127.01565,비상대피시설(지하철역),6호선동묘앞역
6호선 디지털미디어시티역,,37.57611,126.90139,비상대피시설(지하철역),6호선디지털미디어시티역
6호선 마포구청역,,37.56352,126.90334,비상대피시설(지하철역),6호선마포구청역
6호선 망원역,,37.55609,126.91005,비상대피시설(지하철역),6호선망원역
6호선 버티고개역,,37.54801,127.00706,비상대피시설(지하철역),6호선버티고개역
6호선버티고개역지하철승강장,"서울특별시 중구 다산로 지하 38 (신당동, 버티고개역 6호선)",37.54819,127.00707,민방위대피시설,6호선버티고개역지하철승강장
6호선 보문역,,37.58527,127.01935,비상대피시설(지하철역),6호선보문역
6호선 봉화산(서울의료원)역,,37.61728,127.0914,비상대피시설(지하철역),6호선봉화산(서울의료원)역
6호선 불광역,,37.61087,126.92939,비상대피시설(지하철역),6호선불광역
6호선 삼각지역,,37.53553,126.97403,비상대피시설(지하철역),6호선삼각지역
6호선 상수역,,37.54772,126.92285,비상대피시설(지하철역),6호선상수역
6호선 상수역 지하 1~3층,서울특별시 마포구 독막로 지하85 (상수동),37.548,126.92283,민방위대피시설,6호선상수역지하1~3층
6호선 상월곡(한국과학기술연구원)역,,37.60638,127.04849,비상대피시설(지하철역),6호선상월곡(한국과학기술연구원)역
6호선 새절(신사)역,,37.59115,126.91363,비상대피시설(지하철역),6호선새절(신사)역
6호선 석계역,,37.61487,127.0656,비상대피시설(지하철역),6호선석계역
6호선 신내역,,37.61317,127.10223,비상대피시설(지하철역),6호선신내역
6호선 신당역,,37.56615,127.01615,비상대피시설(지하철역),6호선신당역
6호선신당역지하철승강장,"서울특별시 중구 다산로 지하 260 (흥인동, 신당역 6호선)",37.56725,127.01622,민방위대피시설,6호선신당역지하철승강장
6호선 안암(고대병원앞)역,,37.58627,127.029,비상대피시설(지하철역),6호선안암(고대병원앞)역
6호선 약수역,,37.55426,127.01036,비상대피시설(지하철역),6호선약수역
6호선약수역지하철승강장,"서울특별시 중구 다산로 지하 115 (신당동, 약수역 6호선)",37.55476,127.0105,민방위대피시설,6호선약수역지하철승강장
6호선 역촌역,,37.60602,126.92274,비상대피시설(지하철역),6호선역촌역
6호선 연신내역,,37.61864,126.92062,비상대피시설(지하철역),6호선연신내역
6호선 월곡(동덕여대)역,,37.60195,127.04152,비상대피시설(지하철역),6호선월곡(동덕여대)역
6호선 월드컵경기장(성산)역,,37.56953,126.8993,비상대피시설(지하철역),6호선월드컵경기장(성산)역
6호선 응암역,,37.5986,126.91558,비상대피시설(지하철역),6호선응암역
6호선 이태원역,,37.53449,126.9943,비상대피시설(지하철역),6호선이태원역
6호선 증산(명지대앞)역,,37.58388,126.90964,비상대피시설(지하철역),6호선증산(명지대앞)역
6호선 창신역,,37.57966,127.01524,비상대피시설(지하철역),6호선창신역
6호선 청구역,,37.56061,127.01399,비상대피시설(지하철역),6호선청구역
6호선 태릉입구역,,37.61734,127.07474,비상대피시설(지하철역),6호선태릉입구역
6호선 한강진역,,37.53963,127.00172,비상대피시설(지하철역),6호선한강진역
6호선 합정역,,37.54921,126.91337,비상대피시설(지하철역),6호선합정역
6호선 화랑대(서울여대입구)역,,37.62006,127.08469,비상대피시설(지하철역),6호선화랑대(서울여대입구)역
6호선 효창공원앞역,,37.53923,126.96138,비상대피시설(지하철역),6호선효창공원앞역
7호선(인천) 굴포천역,,37.50681,126.73234,비상대피시설(지하철역),7호선(인천)굴포천역
7호선(인천) 까치울역,,37.50613,126.81093,비상대피시설(지하철역),7호선(인천)까치울역
7호선(인천) 부천시청역,,37.50444,126.76364,비상대피시설(지하철역),7호선(인천)부천시청역
7호선(인천) 부천종합운동장역,,37.50502,126.79661,비상대피시설(지하철역),7호선(인천)부천종합운동장역
7호선(인천) 부평구청역,,37.50848,126.72077,비상대피시설(지하철역),7호선(인천)부평구청역
7호선(인천) 삼산체육관역,,37.50724,126.74179,비상대피시설(지하철역),7호선(인천)삼산체육관역
7호선(인천) 상동역,,37.50581,126.75316,비상대피시설(지하철역),7호선(인천)상동역
7호선(인천) 신중동역,,37.50282,126.77566,비상대피시설(지하철역),7호선(인천)신중동역
7호선(인천) 춘의역,,37.50365,126.78828,비상대피시설(지하철역),7호선(인천)춘의역
7호선 가산디지털단지역,,37.48034,126.88266,비상대피시설(지하철역),7호선가산디지털단지역
7호선 강남구청역,,37.51718,127.04126,비상대피시설(지하철역),7호선강남구청역
7호선 건대입구역,,37.54079,127.07101,비상대피시설(지하철역),7호선건대입구역
7호선 고속터미널역,,37.50337,127.00507,비상대피시설(지하철역),7호선고속터미널역
7호선 공릉(서울과학기술대)역,,37.62574,127.0729,비상대피시설(지하철역),7호선공릉(서울과학기술대)역
7호선 광명사거리역,,37.47925,126.85488,비상대피시설(지하철역),7호선광명사거리역
7호선 군자(능동)역,,37.5569,127.07934,비상대피시설(지하철역),7호선군자(능동)역
7호선 굴포천역,,37.507,126.73128,비상대피시설(지하철역),7호선굴포천역
7호선 까치울역,,37.50621,126.81094,비상대피시설(지하철역),7호선까치울역
7호선 남구로역,,37.48606,126.88725,비상대피시설(지하철역),7호선남구로역
7호선 남성역,,37.4846,126.97125,비상대피시설(지하철역),7호선남성역
7호선 내방역,,37.48762,126.99351,비상대피시설(지하철역),7호선내방역
7호선 노원역,,37.65484,127.06046,비상대피시설(지하철역),7호선노원역
7호선 논현역,,37.51109,127.02142,비상대피시설(지하철역),7호선논현역
7호선 대림(구로구청)역,,37.49301,126.89708,비상대피시설(지하철역),7호선대림(구로구청)역
7호선 도봉산역,,37.68924,127.04651,비상대피시설(지하철역),7호선도봉산역
7호선 뚝섬유원지역,,37.53154,127.0667,비상대피시설(지하철역),7호선뚝섬유원지역
7호선 마들역,,37.66494,127.05768,비상대피시설(지하철역),7호선마들역
7호선 먹골역,,37.61064,127.07772,비상대피시설(지하철역),7호선먹골역
